,Customer ID,Frequency,Recency,Monetary,Segment
0,<SMD Chemicals> LLC,6,2273,4122009.4,3
1,Accelergy Corporation,2,4460,80947.0,1
2,"Anhui Huayi Chemical Co.,",2,3735,795947.0,1
3,"Anhui Huayi Chemical Co., Ltd",2,3005,1720081.0,1
4,Anhui Linhuan Chemical,2,2998,850000.0,1
5,Ar-Razi,3,1907,977568.0,1
6,Assam Petro - Assam - M1,3,3368,318998.0,1
7,Assam Petrochem,4,2272,275217.56,1
8,Atlantic Methanol,27,1545,14506492.549999999,2
9,Atlantic Methanol Production Co,1,5558,1699464.0,1
10,Atlas Methanol Company Unlimited,16,2999,10763440.0,2
11,AzMeCo,8,4102,5618019.0,3
12,BASF Aktiengesellschaft,1,4099,812238.0,1
13,BASF SE,1,2275,844039.0,1
14,Baotou Shenhua Coal,22,2269,14755230.03,2
15,Big Lake Fuels LLC,2,2275,933300.0,1
16,Brunei Methanol Company Sdn Bhd,12,1905,5080025.86,3
17,CNOOC Inner Mongolia Tianye,1,4824,609755.0,1
18,CNOOC Kingboard Chemicals Ltd,4,4097,2900503.0,1
19,CRI ehf.,3,2271,87114.42,1
20,Cangzhou Zhongtie Equipment,7,1545,2412943.66,1
21,Carbon Recycling International,2,4467,60782.0,1
22,Caribbean Gas Chemical,5,1911,3150936.37,3
23,Chengzhi (Nanjing) Chemical Co Ltd,1,1909,540797.85,1
24,China Blue Chemical Ltd,10,1909,2318772.61,1
25,China Blue Chemicals Ltd,29,3366,17120470.0,2
26,China Coal Shaanxi Yulin Energy,28,1909,19785530.52,0
27,China Petrochemical Int,1,1903,101780.35,1
28,China Shenhua Coal to Liquid &,4,3735,2845335.0,1
29,China Shenhua Coal to Liquid and,24,1904,7319933.91,3
30,Chongqing Carbinol Chem Ind Co Ltd,4,2276,3150776.0,3
31,Chongqing Changfeng Chemical,12,3372,3566125.0,3
32,Chongqing Chemical and `,14,5191,7438291.0,3
33,Chongqing International,17,3368,7077284.0,3
34,Company AR-RAZI,1,4833,60711.0,1
35,Coogee Energy Pty. Ltd,19,3007,2398168.0,1
36,Copenor - Companhia Petroquimica,1,4825,683125.0,1
37,Copenor-Companhia,10,4823,538742.0,1
38,Davy Process Technology Ltd,4,4834,2447469.0,1
39,Deepak Fertiliser & Chemicals,2,4823,282420.0,1
40,Deepak Fertilisers & Petrochemicals,5,4468,504724.0,1
41,Dor Chemicals Limited.,1,5923,51800.0,1
42,E Methanex,23,4467,6079153.0,3
43,Eastman Chemical Company,5,2266,754851.54,1
44,Enip,4,2640,473267.0,1
45,"Equistar Chemicals, LP",6,2633,6881200.0,3
46,Faplac S.A.,1,5564,65091.0,1
47,GNFC  Bharuch  M2,2,2643,99017.0,1
48,GNFC -  Bharuch # M1,1,1905,179946.34,1
49,GNVFC LTD,1,4831,1286550.0,1
50,Gujarat Narmada Valley Fertilisers,3,5559,577891.0,1
51,Gujarat Narmada Valley Fertilizers,3,4829,2715820.0,1
52,Gulf Petrochemical Industries Co,1,2269,1744712.38,1
53,Gulf Petrochemical Industries Comap,1,4101,1616506.0,1
54,Harbin Gasification,2,5922,793623.0,1
55,Inner Mongolia China Coal Yuanxing,2,1903,962208.13,1
56,Inner Mongolia Rongxin,1,3007,297082.0,1
57,Inner Mongolia Sanwei,4,1906,1012255.4500000001,1
58,Inner Mongolia-Rongxin,1,2277,2538650.0,1
59,Inner Mongolia-Rongxin Chemical,11,1905,5377176.71,3
60,International Methanol Company,1,5194,92800.0,1
61,"International Methanol Company ""IMC",4,2999,1888562.0,1
62,International Methanol Company IMC,3,1906,1690940.7,1
63,JAS Marketing,1,3735,38297.0,1
64,"JSC ""Arctic Gaz""",1,3003,441698.0,1
65,"JSC ""ArcticGas""",6,1545,477013.64999999997,1
66,"JSC ""METAFRAX""",1,2639,151483.0,1
67,"JSC ""Metafrax""",2,4829,273900.0,1
68,JSC Acron,1,4101,231766.0,1
69,Jiangsu Sopo Group Co Ltd,3,3001,3164429.0,3
70,Jiutai Energy Inner Mongolia Co td,3,3371,867998.0,1
71,Johnson Matthey  Alvin Store,1,4467,95606.0,1
72,"Joint Stock Company ""Azot""",1,2276,1072119.0,1
73,Kaveh Methanol Company,11,2634,10749800.0,2
74,Kharg Petrochemical Company,12,1911,6196840.91,3
75,LLC Escort,1,3366,142067.0,1
76,LLC TOMET,2,1545,447310.98,1
77,Lanzhou Bluestar Chemical,3,5922,865213.0,1
78,Linde Gas,2,3002,214788.0,1
79,Linde Process Technologies India,1,5922,388220.0,1
80,"Linhuan Coking Co., Ltd",4,2275,807242.0,1
81,Lyondell Chemical Company,11,3367,3996925.0,3
82,MHTL,13,4461,7062625.0,3
83,Mengda New Energy Chemical Industry,15,3367,5057762.0,3
84,Metanol De Oriente Metor S.A.,1,2268,208138.43,1
85,"Metanol de Oriente,Metor S.A.",4,4468,713508.0,1
86,Methanex,10,1546,6163022.149999999,3
87,Methanex Chemical Storage,3,2643,281806.0,1
88,Methanex Chile SpA.,4,1545,3219972.1099999994,3
89,Methanex Corp.,2,4468,1276017.0,1
90,Methanex Corporation,9,1905,3013843.0,3
91,Methanex Motunui 1,6,4102,4017613.0,3
92,Methanex Motunui 2,2,3728,2589158.0,1
93,Methanex Motunui Plant,22,1907,12049827.249999998,2
94,Methanex Trinidad (Titan),19,1546,11256450.399999999,2
95,Methanex Trinidad Ltd.,6,3371,5666414.0,3
96,Methanex Trinidad Unlimited,1,4104,23007.0,1
97,Methanex USA LLC,15,3001,9868288.0,2
98,Methanol Holdings (Trinidad) Ltd,3,5555,129677.0,1
99,Methanol Holdings Trinidad Ltd.,47,1911,27066401.479999997,0
100,Methanol Holdings Trinidad Ltd. M3,1,1903,34439.02,1
101,Mitsui & Co  Ltd,1,4103,30000.0,1
102,NOVATEK-YURKHAROVNEFTEGAZ,3,4098,270640.0,1
103,National Methanol Company,4,1901,1411493.7,1
104,Ningxia Baofeng Energy Group Co.Ltd,20,1912,11914770.2,2
105,Northwest Innovation Works,6,2637,2550000.0,1
106,Novatek - Yurkharovneftegaz,2,5558,407765.0,1
107,"OOO ""TOMET""",2,3731,430422.0,1
108,OOO NOVATEK - YURKHAROVNEFTEGAZ,5,1906,773838.94,1
109,Oman Methanol Comapny L.L.C,8,4826,2801768.0,1
110,Oman Methanol Company L.L.C.,5,5559,1123037.0,1
111,Oman Methanol Company LLC,61,1902,28571633.37,0
112,"Open Joint Stock Company ""Azot""",1,3007,839035.0,1
113,Ordos GuoTai Co. Ltd,1,3366,741059.0,1
114,PCS Nitrogen Trinidad Ltd,1,2269,57073.36,1
115,PML - Labuan - M1,2,3732,281518.0,1
116,PML - Labuan - M2,7,3005,1979679.0,1
117,Pampa Fuels,9,1904,1402607.78,1
118,Pemex Petroquimica,2,3364,420908.0,1
119,Petrochina Tuha,2,4097,462930.0,1
120,Petronas Methanol (Labuan) Sdn Bhd,2,4467,1199082.0,1
121,Prosint Productos Sinteticos S.A.,1,5558,23002.0,1
122,Prosint Produtos Sintericos S/A,2,5921,116152.0,1
123,Prosint Quimica S.A.,7,4461,152053.0,1
124,Prosint Quimica S/A,1,5925,86280.0,1
125,Pu Cheng Clean Energy Chemical,31,1545,17228909.089999996,2
126,Public Joint-Stock Company,1,3737,1024481.0,1
127,Qatar Fuel Additives Company Ltd,9,1547,11131484.74,2
128,Qinghai Mining,6,3003,3570750.0,3
129,Qinghai Zhonghao Natural Gas,31,2267,10657530.66,2
130,SUMISHO MACHINERY TRADE CORPORATION,1,4831,196901.0,1
131,"SVKh ""JSC METAFRAX""",14,3004,6021999.0,3
132,Salalah Methanol Company,28,1911,21031337.5,0
133,Saudi Basic Industries Corporation,6,2640,1768000.0,1
134,Saudi International Petrochemical,40,1545,19603056.12,0
135,Saudi Methanol Company,1,3734,33458.0,1
136,Shaanxi Aowei Qianyuan Chemicals,2,2274,592650.02,1
137,Shaanxi Huangling Coal,3,2273,1378043.42,1
138,Shaanxi Longwill Import,2,4468,1317000.0,1
139,Shaanxi Yanchang China Coal Yulin,1,2272,53702.09,1
140,Shaanxi Yanchang Petroleum,26,2267,14956286.0,2
141,Shaanxi Yanchang Zhongmei,1,2275,3299400.0,3
142,Shaanxi Yulin Kaiyue,11,3001,2556155.0,1
143,Shangdong Hongri - Acron,1,5555,408274.0,1
144,Shanghai Coking & Chemical,3,3735,1711723.0,1
145,"Shanghai Huayi Trading Co., Ltd.",1,1909,825804.52,1
146,"Shenhua Logistics Group Co.,Ltd.",1,2642,2911425.0,1
147,Sichuan Lutianhua Green,1,5565,503249.0,1
148,Siemens AG,1,1545,94383.08,1
149,Sinopec Sichuan Vinylon Works,17,2635,11044430.0,2
150,Sirte Oil Co,2,3370,1001459.0,1
151,Sirte Oil Company,2,5197,58850.0,1
152,Standard Alcohols of America,2,2269,181394.46,1
153,Statoil ASA,9,4829,657894.0,1
154,Statoil Hydro ASA,2,5556,69500.0,1
155,Statoil Petroleum AS,10,1907,2973267.0700000003,1
156,Supermetanol C.A.,21,2635,7603402.0,3
157,Supermethanol,1,5556,107585.0,1
158,Techint S.P.A.,1,4832,22522.0,1
159,Tennessee Eastman Co.,1,4827,214479.0,1
160,The Egyptian Methanex,20,1545,6835357.540000001,3
161,Vale Fertilizantes,1,4097,26524.0,1
162,Viromet SA,3,4465,327442.0,1
163,Wison (Nanjing),1,3362,672449.0,1
164,"Wison (Nanjing) Chemical Co., Ltd",2,3370,1426973.0,1
165,Xinjiang Tianye (Group),1,4098,87452.0,1
166,Yanchang Xinhua Methanol Company,1,4467,696990.0,1
167,Yancon Cathay Coal Chemicals,1,3738,627680.0,1
168,Yancon Guohong,2,2642,1786865.0,1
169,"Yankuang Luan Chemicals Co., Ltd",1,2275,684828.0,1
170,Yanzhou Coal Mining Yulin,1,4101,957130.0,1
171,"Yulin Energy & Chemical Co., Ltd",22,3729,14211294.0,2
172,Zagros Petrochemical Co.,23,4099,22616548.0,0
173,Zhongmeinengyuan Heilongjiang,1,5561,472064.0,1
174,Zhongyuan Methanol Project,2,5921,113596.0,1
